"date","name","infected","deaths"
"2020-02-11","China","42708","1017"
"2020-02-11","Singapore","45","0"
"2020-02-11","Korea","28","0"
"2020-02-11","Japan","26","0"
"2020-02-11","Malaysia","18","0"
"2020-02-11","Australia","15","0"
"2020-02-11","Viet Nam","15","0"
"2020-02-11","Philippines","3","1"
"2020-02-11","Cambodia","1","0"
"2020-02-11","Thailand","33","0"
"2020-02-11","India","3","0"
"2020-02-11","Nepal","1","0"
"2020-02-11","Sri Lanka","1","0"
"2020-02-11","America","13","0"
"2020-02-11","Canada","7","0"
"2020-02-11","Germany","14","0"
"2020-02-11","France","11","0"
"2020-02-11","United Kingdom","8","0"
"2020-02-11","Italy","3","0"
"2020-02-11","Russia","2","0"
"2020-02-11","Spain","2","0"
"2020-02-11","Belgium","1","0"
"2020-02-11","Finland","1","0"
"2020-02-11","Sweden","1","0"
"2020-02-11","United Arab Emirates","8","0"
"2020-02-11","Other","135","0"
