"date","name","infected","deaths"
"2020-02-27","China","78630","2747"
"2020-02-27","Japan","186","3"
"2020-02-27","Korea","1766","133"
"2020-02-27","Thailand","40","0"
"2020-02-27","America","59","0"
"2020-02-27","Viet Nam","16","0"
"2020-02-27","Singapore","93","0"
"2020-02-27","France","18","2"
"2020-02-27","Australia","23","0"
"2020-02-27","Nepal","1","0"
"2020-02-27","Malaysia","22","0"
"2020-02-27","Canada","11","0"
"2020-02-27","Cambodia","1","0"
"2020-02-27","Sri Lanka","1","0"
"2020-02-27","Germany","21","0"
"2020-02-27","United Arab Emirates","13","0"
"2020-02-27","Philippines","3","1"
"2020-02-27","India","3","0"
"2020-02-27","Finland","2","0"
"2020-02-27","Belgium","1","0"
"2020-02-27","Italy","400","12"
"2020-02-27","Russia","2","0"
"2020-02-27","Spain","12","0"
"2020-02-27","Sweden","2","0"
"2020-02-27","United Kingdom","13","0"
"2020-02-27","Other","705","4"
"2020-02-27","Egypt","1","0"
"2020-02-27","Iran","141","22"
"2020-02-27","Israel","2","0"
"2020-02-27","Lebanon","2","0"
"2020-02-27","Kuwait","43","0"
"2020-02-27","Oman","4","0"
"2020-02-27","Afghanistan","1","0"
"2020-02-27","Bahrain","33","0"
"2020-02-27","Iraq","6","0"
"2020-02-27","Austria","2","0"
"2020-02-27","Croatia","3","0"
"2020-02-27","Switzerland","1","0"
"2020-02-27","Algeria","1","0"
"2020-02-27","Brazil","1","0"
"2020-02-27","Denmark","1","0"
"2020-02-27","Estonia","1","0"
"2020-02-27","Georgia","1","0"
"2020-02-27","Greece","1","0"
"2020-02-27","North Macedonia","1","0"
"2020-02-27","Norway","1","0"
"2020-02-27","Romania","1","0"
"2020-02-27","Pakistan","2","0"
