"date","name","infected","deaths"
"2020-02-17","China","70635","1772"
"2020-02-17","Japan","59","1"
"2020-02-17","Korea","30","0"
"2020-02-17","Thailand","35","0"
"2020-02-17","America","15","0"
"2020-02-17","Viet Nam","16","0"
"2020-02-17","Singapore","75","0"
"2020-02-17","France","12","1"
"2020-02-17","Australia","15","0"
"2020-02-17","Nepal","1","0"
"2020-02-17","Malaysia","22","0"
"2020-02-17","Canada","7","0"
"2020-02-17","Cambodia","1","0"
"2020-02-17","Sri Lanka","1","0"
"2020-02-17","Germany","16","0"
"2020-02-17","United Arab Emirates","8","0"
"2020-02-17","Philippines","3","1"
"2020-02-17","India","3","0"
"2020-02-17","Finland","1","0"
"2020-02-17","Belgium","1","0"
"2020-02-17","Italy","3","0"
"2020-02-17","Russia","2","0"
"2020-02-17","Spain","2","0"
"2020-02-17","Sweden","1","0"
"2020-02-17","United Kingdom","9","0"
"2020-02-17","Other","454","0"
"2020-02-17","Egypt","1","0"
