"date","name","infected","deaths"
"2020-02-25","China","77780","2666"
"2020-02-25","Japan","157","1"
"2020-02-25","Korea","977","10"
"2020-02-25","Thailand","37","0"
"2020-02-25","America","53","0"
"2020-02-25","Viet Nam","16","0"
"2020-02-25","Singapore","90","0"
"2020-02-25","France","12","1"
"2020-02-25","Australia","22","0"
"2020-02-25","Nepal","1","0"
"2020-02-25","Malaysia","22","0"
"2020-02-25","Canada","10","0"
"2020-02-25","Cambodia","1","0"
"2020-02-25","Sri Lanka","1","0"
"2020-02-25","Germany","16","0"
"2020-02-25","United Arab Emirates","13","0"
"2020-02-25","Philippines","3","1"
"2020-02-25","India","3","0"
"2020-02-25","Finland","1","0"
"2020-02-25","Belgium","1","0"
"2020-02-25","Italy","229","6"
"2020-02-25","Russia","2","0"
"2020-02-25","Spain","2","0"
"2020-02-25","Sweden","1","0"
"2020-02-25","United Kingdom","13","0"
"2020-02-25","Other","691","3"
"2020-02-25","Egypt","1","0"
"2020-02-25","Iran","61","12"
"2020-02-25","Israel","2","0"
"2020-02-25","Lebanon","1","0"
"2020-02-25","Kuwait","8","0"
"2020-02-25","Oman","2","0"
"2020-02-25","Afghanistan","1","0"
"2020-02-25","Bahrain","8","0"
"2020-02-25","Iraq","1","0"
