"date","name","infected","deaths"
"2020-02-15","China","50054","1524"
"2020-02-15","Japan","41","1"
"2020-02-15","Korea","28","0"
"2020-02-15","Thailand","34","0"
"2020-02-15","America","15","0"
"2020-02-15","Viet Nam","16","0"
"2020-02-15","Singapore","68","0"
"2020-02-15","France","11","0"
"2020-02-15","Australia","15","0"
"2020-02-15","Nepal","1","0"
"2020-02-15","Malaysia","21","0"
"2020-02-15","Canada","7","0"
"2020-02-15","Cambodia","1","0"
"2020-02-15","Sri Lanka","1","0"
"2020-02-15","Germany","16","0"
"2020-02-15","United Arab Emirates","8","0"
"2020-02-15","Philippines","3","1"
"2020-02-15","India","3","0"
"2020-02-15","Finland","1","0"
"2020-02-15","Belgium","1","0"
"2020-02-15","Italy","3","0"
"2020-02-15","Russia","2","0"
"2020-02-15","Spain","2","0"
"2020-02-15","Sweden","1","0"
"2020-02-15","United Kingdom","9","0"
"2020-02-15","Other","218","0"
"2020-02-15","Egypt","1","0"
