"date","name","infected","deaths"
"2020-02-22","China","76392","2348"
"2020-02-22","Japan","105","1"
"2020-02-22","Korea","346","2"
"2020-02-22","Thailand","35","0"
"2020-02-22","America","35","0"
"2020-02-22","Viet Nam","16","0"
"2020-02-22","Singapore","86","0"
"2020-02-22","France","12","1"
"2020-02-22","Australia","21","0"
"2020-02-22","Nepal","1","0"
"2020-02-22","Malaysia","22","0"
"2020-02-22","Canada","8","0"
"2020-02-22","Cambodia","1","0"
"2020-02-22","Sri Lanka","1","0"
"2020-02-22","Germany","16","0"
"2020-02-22","United Arab Emirates","11","2"
"2020-02-22","Philippines","3","1"
"2020-02-22","India","3","0"
"2020-02-22","Finland","1","0"
"2020-02-22","Belgium","1","0"
"2020-02-22","Italy","3","0"
"2020-02-22","Russia","2","0"
"2020-02-22","Spain","2","0"
"2020-02-22","Sweden","1","0"
"2020-02-22","United Kingdom","9","0"
"2020-02-22","Other","634","2"
"2020-02-22","Egypt","1","0"
"2020-02-22","Iran","18","4"
"2020-02-22","Israel","1","0"
"2020-02-22","Lebanon","1","0"
