"date","name","infected","deaths"
"2020-02-24","China","77262","2595"
"2020-02-24","Japan","144","1"
"2020-02-24","Korea","763","7"
"2020-02-24","Thailand","35","0"
"2020-02-24","America","35","0"
"2020-02-24","Viet Nam","16","0"
"2020-02-24","Singapore","89","0"
"2020-02-24","France","12","1"
"2020-02-24","Australia","22","0"
"2020-02-24","Nepal","1","0"
"2020-02-24","Malaysia","22","0"
"2020-02-24","Canada","9","0"
"2020-02-24","Cambodia","1","0"
"2020-02-24","Sri Lanka","1","0"
"2020-02-24","Germany","16","0"
"2020-02-24","United Arab Emirates","13","0"
"2020-02-24","Philippines","3","1"
"2020-02-24","India","3","0"
"2020-02-24","Finland","1","0"
"2020-02-24","Belgium","1","0"
"2020-02-24","Italy","124","2"
"2020-02-24","Russia","2","0"
"2020-02-24","Spain","2","0"
"2020-02-24","Sweden","1","0"
"2020-02-24","United Kingdom","9","0"
"2020-02-24","Other","695","3"
"2020-02-24","Egypt","1","0"
"2020-02-24","Iran","43","8"
"2020-02-24","Israel","1","0"
"2020-02-24","Lebanon","1","0"
"2020-02-24","Kuwait","3","0"
