"date","name","infected","deaths"
"2020-02-21","China","75569","2239"
"2020-02-21","Japan","93","1"
"2020-02-21","Korea","204","1"
"2020-02-21","Thailand","35","0"
"2020-02-21","America","15","0"
"2020-02-21","Viet Nam","16","0"
"2020-02-21","Singapore","85","0"
"2020-02-21","France","12","1"
"2020-02-21","Australia","17","0"
"2020-02-21","Nepal","1","0"
"2020-02-21","Malaysia","22","0"
"2020-02-21","Canada","8","0"
"2020-02-21","Cambodia","1","0"
"2020-02-21","Sri Lanka","1","0"
"2020-02-21","Germany","16","0"
"2020-02-21","United Arab Emirates","9","0"
"2020-02-21","Philippines","3","1"
"2020-02-21","India","3","0"
"2020-02-21","Finland","1","0"
"2020-02-21","Belgium","1","0"
"2020-02-21","Italy","3","0"
"2020-02-21","Russia","2","0"
"2020-02-21","Spain","2","0"
"2020-02-21","Sweden","1","0"
"2020-02-21","United Kingdom","9","0"
"2020-02-21","Other","634","2"
"2020-02-21","Egypt","1","0"
"2020-02-21","Iran","5","2"
