"date","name","infected","deaths"
"2020-01-31","China","9720","0"
"2020-01-31","Japan","14","0"
"2020-01-31","Korea","11","0"
"2020-01-31","Viet Nam","5","0"
"2020-01-31","Singapore","13","0"
"2020-01-31","Australia","9","0"
"2020-01-31","Malaysia","8","0"
"2020-01-31","Cambodia","1","0"
"2020-01-31","Philippines","1","0"
"2020-01-31","Thailand","14","0"
"2020-01-31","Nepal","1","0"
"2020-01-31","Sri Lanka","1","0"
"2020-01-31","India","1","0"
"2020-01-31","America","6","0"
"2020-01-31","Canada","3","0"
"2020-01-31","France","6","0"
"2020-01-31","Finland","1","0"
"2020-01-31","Germany","5","0"
"2020-01-31","Italy","2","0"
"2020-01-31","United Arab Emirates","4","0"
