"date","name","infected","deaths"
"2020-02-10","China","40235","909"
"2020-02-10","Singapore","43","0"
"2020-02-10","Korea","27","0"
"2020-02-10","Japan","26","0"
"2020-02-10","Malaysia","18","0"
"2020-02-10","Australia","15","0"
"2020-02-10","Viet Nam","14","0"
"2020-02-10","Philippines","3","1"
"2020-02-10","Cambodia","1","0"
"2020-02-10","Thailand","32","0"
"2020-02-10","India","3","0"
"2020-02-10","Nepal","1","0"
"2020-02-10","Sri Lanka","1","0"
"2020-02-10","America","12","0"
"2020-02-10","Canada","7","0"
"2020-02-10","Germany","14","0"
"2020-02-10","France","11","0"
"2020-02-10","United Kingdom","4","0"
"2020-02-10","Italy","3","0"
"2020-02-10","Russia","2","0"
"2020-02-10","Spain","2","0"
"2020-02-10","Belgium","1","0"
"2020-02-10","Finland","1","0"
"2020-02-10","Sweden","1","0"
"2020-02-10","United Arab Emirates","7","0"
"2020-02-10","Other","70","0"
