"date","name","infected","deaths"
"2020-02-13","China","46550","1368"
"2020-02-13","Singapore","50","0"
"2020-02-13","Korea","29","0"
"2020-02-13","Japan","28","0"
"2020-02-13","Malaysia","18","0"
"2020-02-13","Australia","16","0"
"2020-02-13","Viet Nam","15","0"
"2020-02-13","Philippines","3","1"
"2020-02-13","Cambodia","1","0"
"2020-02-13","Thailand","33","0"
"2020-02-13","India","3","0"
"2020-02-13","Nepal","1","0"
"2020-02-13","Sri Lanka","1","0"
"2020-02-13","America","14","0"
"2020-02-13","Canada","7","0"
"2020-02-13","Germany","16","0"
"2020-02-13","France","11","0"
"2020-02-13","United Kingdom","9","0"
"2020-02-13","Italy","3","0"
"2020-02-13","Russia","2","0"
"2020-02-13","Spain","2","0"
"2020-02-13","Belgium","1","0"
"2020-02-13","Finland","1","0"
"2020-02-13","Sweden","1","0"
"2020-02-13","United Arab Emirates","8","0"
"2020-02-13","Other","174","0"
