"date","name","infected","deaths"
"2020-02-20","China","74675","2121"
"2020-02-20","Japan","85","1"
"2020-02-20","Korea","104","1"
"2020-02-20","Thailand","35","0"
"2020-02-20","America","15","0"
"2020-02-20","Viet Nam","16","0"
"2020-02-20","Singapore","84","0"
"2020-02-20","France","12","1"
"2020-02-20","Australia","15","0"
"2020-02-20","Nepal","1","0"
"2020-02-20","Malaysia","22","0"
"2020-02-20","Canada","8","0"
"2020-02-20","Cambodia","1","0"
"2020-02-20","Sri Lanka","1","0"
"2020-02-20","Germany","16","0"
"2020-02-20","United Arab Emirates","9","0"
"2020-02-20","Philippines","3","1"
"2020-02-20","India","3","0"
"2020-02-20","Finland","1","0"
"2020-02-20","Belgium","1","0"
"2020-02-20","Italy","3","0"
"2020-02-20","Russia","2","0"
"2020-02-20","Spain","2","0"
"2020-02-20","Sweden","1","0"
"2020-02-20","United Kingdom","9","0"
"2020-02-20","Other","621","2"
"2020-02-20","Egypt","1","0"
"2020-02-20","Iran","2","2"
