"date","name","infected","deaths"
"2020-02-04","China","20471","425"
"2020-02-04","Japan","20","0"
"2020-02-04","Korea","16","0"
"2020-02-04","Viet Nam","9","0"
"2020-02-04","Singapore","18","0"
"2020-02-04","Australia","12","0"
"2020-02-04","Malaysia","10","0"
"2020-02-04","Cambodia","1","0"
"2020-02-04","Philippines","2","1"
"2020-02-04","Thailand","19","0"
"2020-02-04","Nepal","1","0"
"2020-02-04","Sri Lanka","1","0"
"2020-02-04","India","3","0"
"2020-02-04","America","11","0"
"2020-02-04","Canada","4","0"
"2020-02-04","France","6","0"
"2020-02-04","Finland","1","0"
"2020-02-04","Germany","12","0"
"2020-02-04","Italy","2","0"
"2020-02-04","Russia","2","0"
"2020-02-04","Spain","1","0"
"2020-02-04","Sweden","1","0"
"2020-02-04","United Kingdom","2","0"
"2020-02-04","United Arab Emirates","5","0"
