"date","name","infected","deaths"
"2020-02-07","China","31211","637"
"2020-02-07","Singapore","30","0"
"2020-02-07","Japan","25","0"
"2020-02-07","Korea","24","0"
"2020-02-07","Australia","15","0"
"2020-02-07","Malaysia","14","0"
"2020-02-07","Viet Nam","12","0"
"2020-02-07","Philippines","3","1"
"2020-02-07","Cambodia","1","0"
"2020-02-07","Thailand","25","0"
"2020-02-07","India","3","0"
"2020-02-07","Nepal","1","0"
"2020-02-07","Sri Lanka","1","0"
"2020-02-07","America","12","0"
"2020-02-07","Canada","7","0"
"2020-02-07","Germany","13","0"
"2020-02-07","France","6","0"
"2020-02-07","Italy","3","0"
"2020-02-07","United Kingdom","3","0"
"2020-02-07","Russia","2","0"
"2020-02-07","Belgium","1","0"
"2020-02-07","Finland","1","0"
"2020-02-07","Spain","1","0"
"2020-02-07","Sweden","1","0"
"2020-02-07","United Arab Emirates","5","0"
