"date","name","infected","deaths"
"2020-02-12","China","45121","1113"
"2020-02-12","Singapore","47","0"
"2020-02-12","Korea","28","0"
"2020-02-12","Japan","28","0"
"2020-02-12","Malaysia","18","0"
"2020-02-12","Australia","15","0"
"2020-02-12","Viet Nam","15","0"
"2020-02-12","Philippines","3","1"
"2020-02-12","Cambodia","1","0"
"2020-02-12","Thailand","33","0"
"2020-02-12","India","3","0"
"2020-02-12","Nepal","1","0"
"2020-02-12","Sri Lanka","1","0"
"2020-02-12","America","13","0"
"2020-02-12","Canada","7","0"
"2020-02-12","Germany","16","0"
"2020-02-12","France","11","0"
"2020-02-12","United Kingdom","8","0"
"2020-02-12","Italy","3","0"
"2020-02-12","Russia","2","0"
"2020-02-12","Spain","2","0"
"2020-02-12","Belgium","1","0"
"2020-02-12","Finland","1","0"
"2020-02-12","Sweden","1","0"
"2020-02-12","United Arab Emirates","8","0"
"2020-02-12","Other","175","0"
