"date","name","infected","deaths"
"2020-02-14","China","48548","1381"
"2020-02-14","Japan","33","1"
"2020-02-14","Korea","28","0"
"2020-02-14","Thailand","33","0"
"2020-02-14","America","15","0"
"2020-02-14","Viet Nam","16","0"
"2020-02-14","Singapore","58","0"
"2020-02-14","France","11","0"
"2020-02-14","Australia","15","0"
"2020-02-14","Nepal","1","0"
"2020-02-14","Malaysia","19","0"
"2020-02-14","Canada","7","0"
"2020-02-14","Cambodia","1","0"
"2020-02-14","Sri Lanka","1","0"
"2020-02-14","Germany","16","0"
"2020-02-14","United Arab Emirates","8","0"
"2020-02-14","Philippines","3","1"
"2020-02-14","India","3","0"
"2020-02-14","Finland","1","0"
"2020-02-14","Belgium","1","0"
"2020-02-14","Italy","3","0"
"2020-02-14","Russia","2","0"
"2020-02-14","Spain","2","0"
"2020-02-14","Sweden","1","0"
"2020-02-14","United Kingdom","9","0"
"2020-02-14","Other","218","0"
