"date","name","infected","deaths"
"2020-02-16","China","51174","1666"
"2020-02-16","Japan","53","1"
"2020-02-16","Korea","29","0"
"2020-02-16","Thailand","34","0"
"2020-02-16","America","15","0"
"2020-02-16","Viet Nam","16","0"
"2020-02-16","Singapore","72","0"
"2020-02-16","France","12","1"
"2020-02-16","Australia","15","0"
"2020-02-16","Nepal","1","0"
"2020-02-16","Malaysia","22","0"
"2020-02-16","Canada","7","0"
"2020-02-16","Cambodia","1","0"
"2020-02-16","Sri Lanka","1","0"
"2020-02-16","Germany","16","0"
"2020-02-16","United Arab Emirates","8","0"
"2020-02-16","Philippines","3","1"
"2020-02-16","India","3","0"
"2020-02-16","Finland","1","0"
"2020-02-16","Belgium","1","0"
"2020-02-16","Italy","3","0"
"2020-02-16","Russia","2","0"
"2020-02-16","Spain","2","0"
"2020-02-16","Sweden","1","0"
"2020-02-16","United Kingdom","9","0"
"2020-02-16","Other","355","0"
"2020-02-16","Egypt","1","0"
