"date","name","infected","deaths"
"2020-01-30","China","7736","0"
"2020-01-30","Japan","11","0"
"2020-01-30","Korea","4","0"
"2020-01-30","Viet Nam","2","0"
"2020-01-30","Singapore","10","0"
"2020-01-30","Australia","7","0"
"2020-01-30","Malaysia","7","0"
"2020-01-30","Cambodia","1","0"
"2020-01-30","Philippines","1","0"
"2020-01-30","Thailand","14","0"
"2020-01-30","Nepal","1","0"
"2020-01-30","Sri Lanka","1","0"
"2020-01-30","India","1","0"
"2020-01-30","America","5","0"
"2020-01-30","Canada","3","0"
"2020-01-30","France","5","0"
"2020-01-30","Finland","1","0"
"2020-01-30","Germany","4","0"
"2020-01-30","United Arab Emirates","4","0"
