"date","name","infected","deaths"
"2020-02-18","China","72528","1870"
"2020-02-18","Japan","65","1"
"2020-02-18","Korea","31","0"
"2020-02-18","Thailand","35","0"
"2020-02-18","America","15","0"
"2020-02-18","Viet Nam","16","0"
"2020-02-18","Singapore","77","0"
"2020-02-18","France","12","1"
"2020-02-18","Australia","15","0"
"2020-02-18","Nepal","1","0"
"2020-02-18","Malaysia","22","0"
"2020-02-18","Canada","8","0"
"2020-02-18","Cambodia","1","0"
"2020-02-18","Sri Lanka","1","0"
"2020-02-18","Germany","16","0"
"2020-02-18","United Arab Emirates","9","0"
"2020-02-18","Philippines","3","0"
"2020-02-18","India","3","0"
"2020-02-18","Finland","1","0"
"2020-02-18","Belgium","1","0"
"2020-02-18","Italy","3","0"
"2020-02-18","Russia","2","0"
"2020-02-18","Spain","2","0"
"2020-02-18","Sweden","1","0"
"2020-02-18","United Kingdom","9","0"
"2020-02-18","Other","454","0"
"2020-02-18","Egypt","1","0"
