"date","name","infected","deaths"
"2020-02-06","China","28060","564"
"2020-02-06","Singapore","28","0"
"2020-02-06","Japan","25","0"
"2020-02-06","Korea","23","0"
"2020-02-06","Australia","14","0"
"2020-02-06","Malaysia","12","0"
"2020-02-06","Viet Nam","12","0"
"2020-02-06","Philippines","3","1"
"2020-02-06","Cambodia","1","0"
"2020-02-06","Thailand","25","0"
"2020-02-06","India","3","0"
"2020-02-06","Nepal","1","0"
"2020-02-06","Sri Lanka","1","0"
"2020-02-06","America","12","0"
"2020-02-06","Canada","5","0"
"2020-02-06","Germany","12","0"
"2020-02-06","France","6","0"
"2020-02-06","Italy","2","0"
"2020-02-06","Russia","2","0"
"2020-02-06","United Kingdom","2","0"
"2020-02-06","Belgium","1","0"
"2020-02-06","Finland","1","0"
"2020-02-06","Spain","1","0"
"2020-02-06","Sweden","1","0"
"2020-02-06","United Arab Emirates","5","0"
