"date","name","infected","deaths"
"2020-02-02","China","14411","0"
"2020-02-02","Japan","20","0"
"2020-02-02","Korea","15","0"
"2020-02-02","Viet Nam","7","0"
"2020-02-02","Singapore","18","0"
"2020-02-02","Australia","12","0"
"2020-02-02","Malaysia","8","0"
"2020-02-02","Cambodia","1","0"
"2020-02-02","Philippines","2","0"
"2020-02-02","Thailand","19","0"
"2020-02-02","Nepal","1","0"
"2020-02-02","Sri Lanka","1","0"
"2020-02-02","India","2","0"
"2020-02-02","America","8","0"
"2020-02-02","Canada","4","0"
"2020-02-02","France","6","0"
"2020-02-02","Finland","1","0"
"2020-02-02","Germany","8","0"
"2020-02-02","Italy","2","0"
"2020-02-02","Russia","2","0"
"2020-02-02","Spain","1","0"
"2020-02-02","Sweden","1","0"
"2020-02-02","United Kingdom","2","0"
"2020-02-02","United Arab Emirates","5","0"
