"date","name","infected","deaths"
"2020-02-09","China","37251","812"
"2020-02-09","Singapore","40","0"
"2020-02-09","Korea","27","0"
"2020-02-09","Japan","26","0"
"2020-02-09","Malaysia","17","0"
"2020-02-09","Australia","15","0"
"2020-02-09","Viet Nam","14","0"
"2020-02-09","Philippines","3","1"
"2020-02-09","Cambodia","1","0"
"2020-02-09","Thailand","32","0"
"2020-02-09","India","3","0"
"2020-02-09","Nepal","1","0"
"2020-02-09","Sri Lanka","1","0"
"2020-02-09","America","12","0"
"2020-02-09","Canada","7","0"
"2020-02-09","Germany","14","0"
"2020-02-09","France","11","0"
"2020-02-09","Italy","3","0"
"2020-02-09","United Kingdom","3","0"
"2020-02-09","Russia","2","0"
"2020-02-09","Belgium","1","0"
"2020-02-09","Finland","1","0"
"2020-02-09","Spain","1","0"
"2020-02-09","Sweden","1","0"
"2020-02-09","United Arab Emirates","7","0"
"2020-02-09","Other","64","0"
