"date","name","infected","deaths"
"2020-02-23","China","77042","2445"
"2020-02-23","Japan","132","1"
"2020-02-23","Korea","602","5"
"2020-02-23","Thailand","35","0"
"2020-02-23","America","35","0"
"2020-02-23","Viet Nam","16","0"
"2020-02-23","Singapore","86","0"
"2020-02-23","France","12","1"
"2020-02-23","Australia","22","0"
"2020-02-23","Nepal","1","0"
"2020-02-23","Malaysia","22","0"
"2020-02-23","Canada","8","0"
"2020-02-23","Cambodia","1","0"
"2020-02-23","Sri Lanka","1","0"
"2020-02-23","Germany","16","0"
"2020-02-23","United Arab Emirates","13","0"
"2020-02-23","Philippines","3","1"
"2020-02-23","India","3","0"
"2020-02-23","Finland","1","0"
"2020-02-23","Belgium","1","0"
"2020-02-23","Italy","76","2"
"2020-02-23","Russia","2","0"
"2020-02-23","Spain","2","0"
"2020-02-23","Sweden","1","0"
"2020-02-23","United Kingdom","9","0"
"2020-02-23","Other","634","2"
"2020-02-23","Egypt","1","0"
"2020-02-23","Iran","28","5"
"2020-02-23","Israel","1","0"
"2020-02-23","Lebanon","1","0"
