"date","name","infected","deaths"
"2020-02-03","China","17238","361"
"2020-02-03","Japan","20","0"
"2020-02-03","Korea","15","0"
"2020-02-03","Viet Nam","8","0"
"2020-02-03","Singapore","18","0"
"2020-02-03","Australia","12","0"
"2020-02-03","Malaysia","8","0"
"2020-02-03","Cambodia","1","0"
"2020-02-03","Philippines","2","1"
"2020-02-03","Thailand","19","0"
"2020-02-03","Nepal","1","0"
"2020-02-03","Sri Lanka","1","0"
"2020-02-03","India","3","0"
"2020-02-03","America","11","0"
"2020-02-03","Canada","4","0"
"2020-02-03","France","6","0"
"2020-02-03","Finland","1","0"
"2020-02-03","Germany","10","0"
"2020-02-03","Italy","2","0"
"2020-02-03","Russia","2","0"
"2020-02-03","Spain","1","0"
"2020-02-03","Sweden","1","0"
"2020-02-03","United Kingdom","2","0"
"2020-02-03","United Arab Emirates","5","0"
