"date","name","infected","deaths"
"2020-02-26","China","78191","2718"
"2020-02-26","Japan","164","1"
"2020-02-26","Korea","1261","12"
"2020-02-26","Thailand","40","0"
"2020-02-26","America","53","0"
"2020-02-26","Viet Nam","16","0"
"2020-02-26","Singapore","91","0"
"2020-02-26","France","12","1"
"2020-02-26","Australia","23","0"
"2020-02-26","Nepal","1","0"
"2020-02-26","Malaysia","22","0"
"2020-02-26","Canada","10","0"
"2020-02-26","Cambodia","1","0"
"2020-02-26","Sri Lanka","1","0"
"2020-02-26","Germany","18","0"
"2020-02-26","United Arab Emirates","13","0"
"2020-02-26","Philippines","3","1"
"2020-02-26","India","3","0"
"2020-02-26","Finland","1","0"
"2020-02-26","Belgium","1","0"
"2020-02-26","Italy","322","11"
"2020-02-26","Russia","2","0"
"2020-02-26","Spain","2","0"
"2020-02-26","Sweden","1","0"
"2020-02-26","United Kingdom","13","0"
"2020-02-26","Other","691","3"
"2020-02-26","Egypt","1","0"
"2020-02-26","Iran","95","15"
"2020-02-26","Israel","2","0"
"2020-02-26","Lebanon","1","0"
"2020-02-26","Kuwait","12","0"
"2020-02-26","Oman","4","0"
"2020-02-26","Afghanistan","1","0"
"2020-02-26","Bahrain","26","0"
"2020-02-26","Iraq","5","0"
"2020-02-26","Austria","2","0"
"2020-02-26","Croatia","2","0"
"2020-02-26","Switzerland","1","0"
"2020-02-26","Algeria","1","0"
