"date","name","infected","deaths"
"2020-02-08","China","34598","723"
"2020-02-08","Singapore","33","0"
"2020-02-08","Japan","25","0"
"2020-02-08","Korea","24","0"
"2020-02-08","Australia","15","0"
"2020-02-08","Malaysia","15","0"
"2020-02-08","Viet Nam","13","0"
"2020-02-08","Philippines","3","1"
"2020-02-08","Cambodia","1","0"
"2020-02-08","Thailand","32","0"
"2020-02-08","India","3","0"
"2020-02-08","Nepal","1","0"
"2020-02-08","Sri Lanka","1","0"
"2020-02-08","America","12","0"
"2020-02-08","Canada","7","0"
"2020-02-08","Germany","14","0"
"2020-02-08","France","6","0"
"2020-02-08","Italy","3","0"
"2020-02-08","United Kingdom","3","0"
"2020-02-08","Russia","2","0"
"2020-02-08","Belgium","1","0"
"2020-02-08","Finland","1","0"
"2020-02-08","Spain","1","0"
"2020-02-08","Sweden","1","0"
"2020-02-08","United Arab Emirates","7","0"
